username,level,correct,elapsed,created_at
cho123,N3,15,27.73,2026-03-22 07:23:36.301466+00:00
ilgwon7157,N5,30,220.59,2026-03-28 17:20:19.696640+00:00
rjsgml0514,N5,6,31.33,2026-03-29 16:17:07.747421+00:00
test123,N5,17,32.55,2026-04-01 04:27:22.746309+00:00
test123,N1,7,32.80,2026-04-01 04:44:40.627484+00:00
test123,N4,10,38.81,2026-04-06 03:54:08.514029+00:00
test123,N2,6,30.46,2026-04-06 05:03:39.978184+00:00
2021kyr,N5,28,74.67,2026-04-06 06:51:22.073420+00:00
cho123,N5,15,124.59,2026-04-06 06:52:09.542850+00:00
hy0531,N4,26,85.47,2026-04-06 07:48:24.862872+00:00
